date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:35:51	23199/23199	---M--	200	added ('OK')	image/png	etag:%22175eed034b4326f0e0ef51d9c9f3feb2%22	https://static.wixstatic.com/media/ea26fd_ccf38516ae9147fc8deb1978759d2965~mv2.png/v1/fill/w_122,h_129,al_c,blur_3/ea26fd_ccf38516ae9147fc8deb1978759d2965~mv2.png	E:/Survey-Point-Project/static.wixstatic.com/media/ea26fd_ccf38516ae9147fc8deb1978759d2965_mv2.png/v1/fill/w_122,h_129,al_c,blur_3/ea26fd_ccf38516ae9147fc8deb1978759d2965_mv2.png	(from https://shilpakini1508.wixsite.com/mysite-1)
12:35:52	23328/23328	---M--	200	added ('OK')	image/png	etag:%22d2ac4ab850c3c1effe52a2b2a326bb4e%22	https://static.wixstatic.com/media/ea26fd_d0155ac4a35342c79a636f4bae766436~mv2.png/v1/fill/w_122,h_129,al_c,blur_3/ea26fd_d0155ac4a35342c79a636f4bae766436~mv2.png	E:/Survey-Point-Project/static.wixstatic.com/media/ea26fd_d0155ac4a35342c79a636f4bae766436_mv2.png/v1/fill/w_122,h_129,al_c,blur_3/ea26fd_d0155ac4a35342c79a636f4bae766436_mv2.png	(from https://shilpakini1508.wixsite.com/mysite-1)
12:35:53	5348/5348	---M--	200	added ('OK')	image/jpeg	date:Tue,%2017%20Mar%202020%2015:11:56%20GMT	https://static.wixstatic.com/media/c5dc19_b7e6459ba6ef41efa55f8c34ee4b14e9~mv2.jpg/v1/fill/w_164,h_213,al_c,q_80,usm_0.66_1.00_0.01,blur_2/c5dc19_b7e6459ba6ef41efa55f8c34ee4b14e9~mv2.jpg	E:/Survey-Point-Project/static.wixstatic.com/media/c5dc19_b7e6459ba6ef41efa55f8c34ee4b14e9_mv2.jpg/v1/fill/w_164,h_213,al_c,q_80,usm_0.66_1.00_0.01,blur_2/c5dc19_b7e6459ba6ef41efa55f8c34ee4b14e9_mv2.jpg	(from https://shilpakini1508.wixsite.com/mysite-1)
12:35:53	6406/6406	---M--	200	added ('OK')	image/jpeg	date:Tue,%2017%20Mar%202020%2015:11:56%20GMT	https://static.wixstatic.com/media/nsplsh_7a6355676a797145776538~mv2.jpg/v1/fill/w_164,h_213,al_c,q_80,usm_0.66_1.00_0.01,blur_2/nsplsh_7a6355676a797145776538~mv2.jpg	E:/Survey-Point-Project/static.wixstatic.com/media/nsplsh_7a6355676a797145776538_mv2.jpg/v1/fill/w_164,h_213,al_c,q_80,usm_0.66_1.00_0.01,blur_2/nsplsh_7a6355676a797145776538_mv2.jpg	(from https://shilpakini1508.wixsite.com/mysite-1)
12:35:54	425807/425807	---MCZ	200	added ('OK')	text/html	date:Wed,%2018%20Mar%202020%2007:05:51%20GMT	https://shilpakini1508.wixsite.com/mysite-1/project-01	E:/Survey-Point-Project/shilpakini1508.wixsite.com/mysite-1/project-01.html	(from https://shilpakini1508.wixsite.com/mysite-1)
12:35:54	6323/6323	---M--	200	added ('OK')	image/jpeg	date:Tue,%2017%20Mar%202020%2015:11:56%20GMT	https://static.wixstatic.com/media/c5dc19_fc751f51f4dd4f49aee8e6b799bd3285~mv2.jpg/v1/fill/w_164,h_206,al_c,q_80,usm_0.66_1.00_0.01,blur_2/c5dc19_fc751f51f4dd4f49aee8e6b799bd3285~mv2.jpg	E:/Survey-Point-Project/static.wixstatic.com/media/c5dc19_fc751f51f4dd4f49aee8e6b799bd3285_mv2.jpg/v1/fill/w_164,h_206,al_c,q_80,usm_0.66_1.00_0.01,blur_2/c5dc19_fc751f51f4dd4f49aee8e6b799bd3285_mv2.jpg	(from https://shilpakini1508.wixsite.com/mysite-1)
12:35:55	427181/427181	---MCZ	200	added ('OK')	text/html	date:Wed,%2018%20Mar%202020%2007:05:53%20GMT	https://shilpakini1508.wixsite.com/mysite-1/project-02	E:/Survey-Point-Project/shilpakini1508.wixsite.com/mysite-1/project-02.html	(from https://shilpakini1508.wixsite.com/mysite-1)
12:35:55	7052/7052	---M--	200	added ('OK')	image/jpeg	date:Tue,%2017%20Mar%202020%2014:52:27%20GMT	https://static.wixstatic.com/media/c5dc19_93aea7904a2a4defbc9a6018f7ee71eb~mv2.jpg/v1/fill/w_164,h_206,al_c,q_80,usm_0.66_1.00_0.01,blur_2/c5dc19_93aea7904a2a4defbc9a6018f7ee71eb~mv2.jpg	E:/Survey-Point-Project/static.wixstatic.com/media/c5dc19_93aea7904a2a4defbc9a6018f7ee71eb_mv2.jpg/v1/fill/w_164,h_206,al_c,q_80,usm_0.66_1.00_0.01,blur_2/c5dc19_93aea7904a2a4defbc9a6018f7ee71eb_mv2.jpg	(from https://shilpakini1508.wixsite.com/mysite-1)
12:35:56	6374/6374	---M--	200	added ('OK')	image/jpeg	date:Tue,%2017%20Mar%202020%2015:11:57%20GMT	https://static.wixstatic.com/media/c5dc19_54a87b7a153e4799bfe3b1181b431aec~mv2.jpg/v1/fill/w_173,h_206,al_c,q_80,usm_0.66_1.00_0.01,blur_2/c5dc19_54a87b7a153e4799bfe3b1181b431aec~mv2.jpg	E:/Survey-Point-Project/static.wixstatic.com/media/c5dc19_54a87b7a153e4799bfe3b1181b431aec_mv2.jpg/v1/fill/w_173,h_206,al_c,q_80,usm_0.66_1.00_0.01,blur_2/c5dc19_54a87b7a153e4799bfe3b1181b431aec_mv2.jpg	(from https://shilpakini1508.wixsite.com/mysite-1)
12:35:57	6852/6852	---M--	200	added ('OK')	image/jpeg	date:Tue,%2017%20Mar%202020%2015:11:57%20GMT	https://static.wixstatic.com/media/c5dc19_515fefeee9dc4353a9d0446d4ffd4bdc~mv2.jpg/v1/fill/w_173,h_206,al_c,q_80,usm_0.66_1.00_0.01,blur_2/c5dc19_515fefeee9dc4353a9d0446d4ffd4bdc~mv2.jpg	E:/Survey-Point-Project/static.wixstatic.com/media/c5dc19_515fefeee9dc4353a9d0446d4ffd4bdc_mv2.jpg/v1/fill/w_173,h_206,al_c,q_80,usm_0.66_1.00_0.01,blur_2/c5dc19_515fefeee9dc4353a9d0446d4ffd4bdc_mv2.jpg	(from https://shilpakini1508.wixsite.com/mysite-1)
12:35:57	324925/324925	---MCZ	200	added ('OK')	text/html	date:Wed,%2018%20Mar%202020%2007:05:54%20GMT	https://shilpakini1508.wixsite.com/mysite-1/project-03	E:/Survey-Point-Project/shilpakini1508.wixsite.com/mysite-1/project-03.html	(from https://shilpakini1508.wixsite.com/mysite-1)
12:35:57	3760/3760	---M--	200	added ('OK')	image/jpeg	date:Tue,%2017%20Mar%202020%2014:52:27%20GMT	https://static.wixstatic.com/media/c5dc19_0ca97c5ec9ed4e138211d25f0e92b168~mv2.jpg/v1/fill/w_173,h_202,al_c,q_80,usm_0.66_1.00_0.01,blur_2/c5dc19_0ca97c5ec9ed4e138211d25f0e92b168~mv2.jpg	E:/Survey-Point-Project/static.wixstatic.com/media/c5dc19_0ca97c5ec9ed4e138211d25f0e92b168_mv2.jpg/v1/fill/w_173,h_202,al_c,q_80,usm_0.66_1.00_0.01,blur_2/c5dc19_0ca97c5ec9ed4e138211d25f0e92b168_mv2.jpg	(from https://shilpakini1508.wixsite.com/mysite-1)
12:35:58	4600/4600	---M--	200	added ('OK')	image/jpeg	date:Tue,%2017%20Mar%202020%2014:52:27%20GMT	https://static.wixstatic.com/media/c5dc19_2984688292634e5e867254f767670ef9~mv2.jpg/v1/fill/w_173,h_202,al_c,q_80,usm_0.66_1.00_0.01,blur_2/c5dc19_2984688292634e5e867254f767670ef9~mv2.jpg	E:/Survey-Point-Project/static.wixstatic.com/media/c5dc19_2984688292634e5e867254f767670ef9_mv2.jpg/v1/fill/w_173,h_202,al_c,q_80,usm_0.66_1.00_0.01,blur_2/c5dc19_2984688292634e5e867254f767670ef9_mv2.jpg	(from https://shilpakini1508.wixsite.com/mysite-1)
